ID,PUNTO_DE_CONEXION,DOMICILIO,COLONIA-COMUNIDAD,ZONA,LOCALIDAD,SEDE,LATITUD,LONGITUD,PROGRAMA,TIPO,BENEFICIARIOS,FASE,ICONO
1,11DES0028B,"Carretera Leon, San Franciscosn Kilometro 1.5",Portales De San Sebastian,urbana,León de los Aldama,Escuela,21.10182,-101.70554,Conectividad SEG - ISP,Sin informacion,1046,Instalado,pin
2,11DES0097Y,Josefina Camarena Num. 901,Leon Ii,urbana,León de los Aldama,Escuela,21.10845,-101.7283,Conectividad SEG - ISP,Sin informacion,1277,Instalado,pin
3,11DES0098X,"Avenida Prolongacion Rio Mayo Numero Exterior: 102 , Colonia Sant",Santo Domingo,urbana,León de los Aldama,Escuela,21.093182,-101.668776,Conectividad SEG - ISP,Sin informacion,873,Instalado,pin
4,11DES0102T,Boulevard Epsilon Num. 1105,Valle Verde,urbana,León de los Aldama,Escuela,21.08009,-101.62151,Conectividad SEG - ISP,Sin informacion,1517,Instalado,pin
5,11DES0104R,San Francisco De Asis Num. Sn,San Jose Del Consuelo Ii,urbana,León de los Aldama,Escuela,21.15798,-101.64823,Conectividad SEG - ISP,Sin informacion,1238,Instalado,pin
6,11DES0108N,Domenico Ibañez De Arquicia Num. Sn Club Cinegetico Del Bajio,Fraccionamiento Villas De San Nicolas Ii,urbana,León de los Aldama,Escuela,21.124664,-101.589361,Conectividad SEG - ISP,Sin informacion,821,Instalado,pin
7,11DES0109M,Avenida Ambar Esquina Balastra Num. Sn,Villas De San Juan,urbana,León de los Aldama,Escuela,21.09258,-101.58733,Conectividad SEG - ISP,Sin informacion,1532,Instalado,pin
8,11DES0114Y,"Calle Amianto Numero Exterior: Sn, Colonia Rizos Del Saucillo, Co",Rizos Del Saucillo,urbana,RIZOS DE LA JOYA (RIZOS DEL SAUCILLO),Escuela,21.149339,-101.761355,Conectividad SEG - ISP,Sin informacion,455,Instalado,pin
9,11DES0115X,Boulevard Caliope Num. 3101,Lomas Del Mirador,urbana,León de los Aldama,Escuela,21.152826,-101.734279,Conectividad SEG - ISP,Sin informacion,1401,Instalado,pin
10,11DES0121H,"Calle Sigma Numero Exterior: 413 , Colonia Valle Dorado, Codigo P",Valle Dorado,urbana,León de los Aldama,Escuela,21.082003,-101.62056,Conectividad SEG - ISP,Sin informacion,877,Instalado,pin
11,11DJN2672N,Diablos Rojos Num. 217,Deportiva Ii,urbana,León de los Aldama,Escuela,21.14946,-101.64389,Conectividad SEG - ISP,Sin informacion,188,Instalado,pin
12,11DPR1918Z,San Pedrito Num. 712,Coecillo,urbana,León de los Aldama,Escuela,21.13011,-101.66425,Conectividad SEG - ISP,Sin informacion,416,Instalado,pin
13,11DPR2100P,Cortijo De Ansar S/N San Antonio Del Monte,Malagana,rural,MALAGANA (SAN ANTONIO DEL MONTE),Escuela,21.04916,-101.7524,Conectividad SEG - ISP,Sin informacion,150,Instalado,pin
14,11DPR2118O,Purisima De Guadalupe S/N Carretera Leon-Santa Ana Del Conde,No Aplica,rural,SAN FRANCISCO DE DURAN (SAN AGUSTIN DEL MIRAS,Escuela,21.00638,-101.62289,Conectividad SEG - ISP,Sin informacion,453,Instalado,pin
15,11DPR2808A,Ejido Comunidad El Consuelo S/N,Ejido El Consuelo,rural,SAN JOSE DEL CONSUELO (LA ENVIDIA),Escuela,21.0145,-101.69145,Conectividad SEG - ISP,Sin informacion,83,Instalado,pin
16,11DPR3085U,Articulo 27 Num. 101,Libertad,urbana,León de los Aldama,Escuela,21.05825,-101.61942,Conectividad SEG - ISP,Sin informacion,676,Instalado,pin
17,11DPR3317U,"Calle Pascal Kant Numero Exterior: 402 , Fraccionamiento Centro F",Centro Familiar Soledad,urbana,CENTRO FAMILIAR LA SOLEDAD,Escuela,21.13931,-101.75396,Conectividad SEG - ISP,Sin informacion,665,Instalado,pin
18,11DPR3499T,Mar De Cortez S/N,Infonavit El Granjeno,urbana,León de los Aldama,Escuela,21.09213,-101.65734,Conectividad SEG - ISP,Sin informacion,429,Instalado,pin
19,11DPR3747K,"Calle Camino A San Jose De Duran Conalep Numero Exterior: Sn, Col",San Jose De Duran (Los Troncoso),urbana,León de los Aldama,Escuela,21.06607,-101.67326,Conectividad SEG - ISP,Sin informacion,216,Instalado,pin
20,11DPR3766Z,"Calle Acatemango Numero Exterior: Sn, Colonia Colonia Latinoameri",Colonia Latinoamericana,urbana,COLONIA LATINOAMERICANA,Escuela,21.027314,-101.70457,Conectividad SEG - ISP,Sin informacion,405,Instalado,pin
21,11DPR3798R,"Calle De La Misericordia Numero Exterior: 104 , Colonia La Gloria",La Gloria,urbana,León de los Aldama,Escuela,21.07273,-101.62917,Conectividad SEG - ISP,Sin informacion,652,Instalado,pin
22,11DPR3930I,"Calle Villa Sidney Numero Exterior: Sn, Fraccionamiento Las Villa",Las Villas,urbana,León de los Aldama,Escuela,21.097519,-101.606953,Conectividad SEG - ISP,Sin informacion,468,Instalado,pin
23,11DPR3939Z,"Calle Tajo De Santa Ana Numero Exterior: Sn, Fraccionamiento Vill",Villas De Barcelo,urbana,León de los Aldama,Escuela,21.083877,-101.592927,Conectividad SEG - ISP,Sin informacion,654,Instalado,pin
24,11DST0045K,Cholula Num. 603,Azteca,urbana,León de los Aldama,Escuela,21.09453,-101.64948,Conectividad SEG - ISP,Sin informacion,1142,Instalado,pin
25,11DST0057P,Papaya Num. Sn,Las Mandarinas,urbana,León de los Aldama,Escuela,21.10786,-101.71378,Conectividad SEG - ISP,Sin informacion,1378,Instalado,pin
26,11DST0061B,Boulevard Hilario Medina Num. Sn Esquina Con Polo,Unidad Deportiva 1,urbana,León de los Aldama,Escuela,21.1446,-101.65318,Conectividad SEG - ISP,Sin informacion,1333,Instalado,pin
27,11DST0062A,Boulevard Boulevar Mariano Escobedo Num. 5602 Y Ma. Esther V. S/N,Leon Ii,urbana,León de los Aldama,Escuela,21.12056,-101.7305,Conectividad SEG - ISP,Sin informacion,1124,Instalado,pin
28,11DST0073G,Faisan Y Colibri S/N,Jardines De San Sebastian,urbana,León de los Aldama,Escuela,21.1022,-101.69912,Conectividad SEG - ISP,Sin informacion,716,Instalado,pin
29,11EES0027B,Boulevard Hermanos Aldama Esquina Timoteo Lozano Num. 1005,San Miguel,urbana,León de los Aldama,Escuela,21.09223,-101.68005,Conectividad SEG - ISP,Sin informacion,1197,Instalado,pin
30,11EJN0300I,"Calle Ramon Ramirez Martinez Numero Exterior: 504 , Colonia Leon ",Leon I,urbana,León de los Aldama,Escuela,21.146049,-101.641486,Conectividad SEG - ISP,Sin informacion,220,Instalado,pin
31,11EJN0415J,"Calle Campos Otoñales Numero Exterior: 203 , Colonia Agua Azul, C",Agua Azul,urbana,León de los Aldama,Escuela,21.10431,-101.61639,Conectividad SEG - ISP,Sin informacion,205,Instalado,pin
32,11EPR0187W,"Calle Rio Santiago Numero Exterior: Sn, Barrio San Miguel, Codigo",San Miguel,urbana,León de los Aldama,Escuela,21.09586,-101.68639,Conectividad SEG - ISP,Sin informacion,597,Instalado,pin
33,11EPR0674N,"Calle Cañada De Los Martires Numero Exterior: 128 , Colonia Marav",Maravillas,urbana,León de los Aldama,Escuela,21.147318,-101.629257,Conectividad SEG - ISP,Sin informacion,647,Instalado,pin
34,11EPR0830O,Filipenses Num. 104,San Pablo,urbana,León de los Aldama,Escuela,21.17266,-101.64714,Conectividad SEG - ISP,Sin informacion,427,Instalado,pin
35,11EPR0858U,Felipe Martinez De Zavala Num. 1107,Ampliacion Leon I,urbana,León de los Aldama,Escuela,21.14158,-101.63747,Conectividad SEG - ISP,Sin informacion,365,Instalado,pin
36,11EPR0867B,Obsidiana Num. Sn,Real De La Joya,urbana,REAL DE LA JOYA,Escuela,21.1529,-101.75817,Conectividad SEG - ISP,Sin informacion,386,Instalado,pin
37,11EPR0894Z,"Calle Cañada De Los Martires Numero Exterior: 128 , Colonia Marav",Maravillas,urbana,León de los Aldama,Escuela,21.147318,-101.629257,Conectividad SEG - ISP,Sin informacion,573,Instalado,pin
38,11EPR0922E,Obsidiana Num. Sn,Real De La Joya,urbana,REAL DE LA JOYA,Escuela,21.1529,-101.75817,Conectividad SEG - ISP,Sin informacion,334,Instalado,pin
39,11ETK0307L,"Calle Ojo De Agua De Los Reyes Numero Exterior: Sn,Rancho O Ranch",Ojo De Agua De Los Reyes,rural,OJO DE AGUA DE LOS REYES,Escuela,21.18884,-101.62228,Conectividad SEG - ISP,Sin informacion,92,Instalado,pin
40,11ETV0040B,Contratistas S/N,Ciudad Aurora,urbana,León de los Aldama,Escuela,21.175236,-101.667997,Conectividad SEG - ISP,Sin informacion,865,Instalado,pin
41,11ETV0114C,Emiliano Zapata Num. Sn,Duarte,urbana,DUARTE,Escuela,21.08295,-101.518,Conectividad SEG - ISP,Sin informacion,381,Instalado,pin
42,11ETV0121M,Pilar De La Sandia Num. 120 Carretera Leon-Cueramaro,Plan Guanajuato,rural,PLAN GUANAJUATO (LA SANDIA),Escuela,20.91952,-101.69645,Conectividad SEG - ISP,Sin informacion,159,Instalado,pin
43,11ETV0122L,Baya,San Jose Del Alto,urbana,León de los Aldama,Escuela,21.07636,-101.61143,Conectividad SEG - ISP,Sin informacion,394,Instalado,pin
44,11ETV0394C,Avenida Potrero Num. 110-A Boulevard Vicente Valtierra,San Jose Del Potrero,urbana,SAN JOSE DEL POTRERO,Escuela,21.12911,-101.59999,Conectividad SEG - ISP,Sin informacion,214,Instalado,pin
45,11ETV0422I,Nicolas Calvo Num. 3002,Deportiva Ii,urbana,León de los Aldama,Escuela,21.14733,-101.64433,Conectividad SEG - ISP,Sin informacion,190,Instalado,pin
46,11ETV0584U,"Calle San Francisco Numero Exterior: Sn, Rancho O Rancheria San F",San Francisco De Duran (San Agustin Mirasol),rural,SAN FRANCISCO DE DURAN (SAN AGUSTIN DEL MIRAS,Escuela,21.00863,-101.62021,Conectividad SEG - ISP,Sin informacion,177,Instalado,pin
47,11ETV0686R,San Jose De Otates Sur,San Jose De Otates Sur,rural,SAN JOSE DE OTATES SUR (PIEDRAS DE COCHE),Escuela,21.16827,-101.49334,Conectividad SEG - ISP,Sin informacion,41,Instalado,pin
48,11ETV0755X,"Calle La Laborcita Numero Exterior: Sn, Ejido La Laborcita, Codig",La Laborcita,rural,LA LABORCITA,Escuela,21.10796,-101.55244,Conectividad SEG - ISP,Sin informacion,182,Instalado,pin
49,11ETV0937F,Aldaba Y Pura Sangre S/N,El Carmen C.T.M.,urbana,León de los Aldama,Escuela,21.11888,-101.60182,Conectividad SEG - ISP,Sin informacion,292,Instalado,pin
50,11ETV1014K,Las Coloradas Carretera Duarte,Las Coloradas,rural,LAS COLORADAS,Escuela,21.09827,-101.50285,Conectividad SEG - ISP,Sin informacion,46,Instalado,pin
51,11ETV1069N,"Calle Ojo De Agua De Los Reyes Numero Exterior: Sn,Rancho O Ranch",Ojo De Agua De Los Reyes,rural,OJO DE AGUA DE LOS REYES,Escuela,21.18884,-101.62228,Conectividad SEG - ISP,Sin informacion,94,Instalado,pin
52,11DIT0026P,"Avenida Tecnologico Numero Exterior: Sn, Zona Industrial Industri",Industrial Julian De Obregon,urbana,León de los Aldama,Escuela,21.109057,-101.62712,México conectado,Sin informacion,0,Instalado,pin
53,11DJN0166U,Santa Ana Del Conde,Santa Ana Del Conde,rural,ALVARO OBREGON (SANTA ANA DEL CONDE),Escuela,20.95913,-101.57639,México conectado,Sin informacion,163,Instalado,pin
54,11DJN0329O,Boulevard Mariano Escobedo S/N A Un Costado De La Primaria Emilia,Kennedy,urbana,León de los Aldama,Escuela,21.11673,-101.70174,México conectado,Sin informacion,104,Instalado,pin
55,11DJN0964O,Felix Romero Num. 404 Carretera Leon-San Franciosco Del Rincon,Periodistas De Mexico,urbana,León de los Aldama,Escuela,21.09668,-101.74957,México conectado,Sin informacion,210,Instalado,pin
56,11DJN3062T,La Selva,La Selva,urbana,León de los Aldama,Escuela,21.17611,-101.63443,México conectado,Sin informacion,0,Instalado,pin
