ID,PUNTO_DE_CONEXION,DOMICILIO,COLONIA-COMUNIDAD,ZONA,LOCALIDAD,SEDE,LATITUD,LONGITUD,PROGRAMA,TIPO,BENEFICIARIOS,FASE,ICONO
1,Primaria 5 de mayo,Boulevard Renacimiento del Potrero,Nuevo Amanecer,urbana,León de los Aldama,Escuela,21.1179868,-101.6070693,Brecha Digital,,486,Instalado,place
2,Primaria Joel Cisneros Lara,Boulevard Torre Leon SN,Paseo de las Torres,urbana,León de los Aldama,Escuela,21.1672738,-101.7583752,Brecha Digital,,247,Instalado,place
3,Primaria Tierra y Libertad,"Ejido Los Naranjos, Oficinas del Partido Accion Nacional",Los Naranjos,urbana,León de los Aldama,Escuela,21.1545128,-101.618882,Brecha Digital,,201,Instalado,place
4,Primaria Dr Pablo del Rio,Boulevard Campestre Ahuehuete SN,Urbi Villa del Roble,urbana,León de los Aldama,Escuela,21.1664617,-101.7652038,Brecha Digital,,689,Instalado,place
5,Primaria Miguel Hidalgo,Valle del Sahuan SN,Rancho Nuevo El Maguey,urbana,León de los Aldama,Escuela,21.0853331,-101.6203514,Brecha Digital,,447,Instalado,place
6,Telesecundaria num 581,Antigua Salida A San Felipe No 103,Ibarrilla,urbana,León de los Aldama,Escuela,21.1872946,-101.65217,Brecha Digital,,318,Instalado,place
7,Primaria Emiliano Zapata,Emiliano Zapata km 14,Los Sauces,rural,Los Sauces,Escuela,21.0242972,-101.5412377,Brecha Digital,Satelital,384,Instalado,place
8,Telesecundaria No 123,Estudiante No 1 Carretera Leon Silao,Los Sauces,rural,Los Sauces,Escuela,21.1708415,-101.6776342,Brecha Digital,Satelital,323,Instalado,place
9,Primaria Albino Garcia,Comunidad San Jose del Potrero Club Cinegetico del Bajio,San Jose del Potrero,rural,,Escuela,21.1342671,-101.6005155,Brecha Digital,,611,Instalado,place
10,Primaria Insurgentes,Canada de Alfaro pasando el rio,Alfaro,rural,Alfaro,Escuela,21.1483992,-101.6083774,Brecha Digital,Radiobase,410,Instalado,place
11,Telesecundaria No 1003,Mesa de Ibarrilla Salida a Ibarrilla SN,Mesa de Ibarrilla,rural,Alfaro,Escuela,21.2194781,-101.6500964,Brecha Digital,,46,Instalado,place
12,Primaria Benito Juarez,Camino viejo a Lagos SN y griega carretera Leon  Lagos de Moreno,Lagunillas,rural,Rancho Nuevo La Venta,Escuela,21.1865838,-101.7743925,Brecha Digital,Satelital,230,Instalado,place
13,Telesecundaria Num 527,Camino a los Tepetates No 4,Los Arcos,rural,Los Ramirez,Escuela,21.0659537,-101.6749664,Brecha Digital,Satelital,238,Instalado,place
14,Telesecundaria num 528,Camino Calle de los volcanes No 102,San Pedro del Monte Hospital,rural,Santa Rosa Plan de Ayala,Escuela,21.0335226,-101.7117219,Brecha Digital,Satelital,292,Instalado,place
15,Primaria Melchor Ocampo,Carretera Leon San Francisco Del Rincon,La Mora,rural,Rancho Nuevo La Venta,Escuela,21.0656266,-101.7634213,Brecha Digital,Satelital,136,Instalado,place
24,El Derramadero,A un costado de la Escuela Primaria Francisco Javier Mina,El Derramadero,rural,Nuevo Valle de Moreno,Escuela,21.16708,-101.416859,Brecha Digital,Radiobase,141,Instalado,place
34,Benito de Juarez,Juan de Grijalva 116,Dentro del Jardin de NiÒos Amado Nervo,rural,Santa Ana del Conde,Escuela,21.0775,-101.5802778,Brecha Digital,Satelital,86,Instalado,place
